management,monitor,target,people,lemp_firm,export,competition,ownership,mne_country,mne_f,mne_d,degree_m,degree_nm,country,competition2004,year,sic,lb_employindex,pppgdp,,              storage  display     value
3.666667,4.4,2.8,3.833333,5.010635,,7,Dispersed Shareholders,France,1,0,100,31,United States,,2004,367,0,13398.93,,
4.611111,4.6,4.6,4.5,5.521461,,,,,0,0,,,United States,2,2004,355,0,11867.75,,
3.555556,3.8,3.8,3.166667,5.09375,,,,,0,0,,,United States,2,2004,282,0,11867.75,,
2.777778,3,2.4,2.833333,6.907755,,,Dispersed Shareholders,US,0,1,100,3,United States,,2006,282,0,13398.93,,
3.388889,3.6,3.6,3,6.214608,0,10,Dispersed Shareholders,,0,0,80,5,United States,,2006,282,0,14119.05,,
4.666667,5,4.8,4.333333,5.298317,,,,,0,0,,,United States,3,2004,283,0,11867.75,,
3.722222,3.6,4,3.666667,5.298317,,,,,0,0,,,United States,3,2004,283,0,11867.75,,
4.111111,4.2,4.4,3.666667,5.521461,,10,Dispersed Shareholders,,0,0,100,5,United States,,2007,283,0,14061.8,,
3.277778,3.6,3,3.166667,6.304449,,,,,0,0,,,United States,2,2004,271,0,11867.75,,
2.5,2.8,2.2,2.333333,6.214608,,,,,0,0,,,United States,2,2004,367,0,11867.75,,
4.444445,4.4,4.6,4.166667,4.787492,,,,,0,0,,,United States,2,2004,381,0,11867.75,,
4.722222,5,4.6,4.5,4.905275,,10,Dispersed Shareholders,US,0,1,90,50,United States,,2005,381,0,13398.93,,
3.555556,4,3,3.666667,4.718499,50,10,Dispersed Shareholders,US,0,1,100,50,United States,,2005,381,0,14119.05,,
3.5,3,3.6,3.75,8.194229,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
3.388889,3.6,3.4,3.166667,8.34284,,5,Private Equity,US,0,1,50,15,United States,,2007,384,0,14061.8,,
2,1.6,1.5,2.4,4.795791,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
3.111111,3.6,3,2.666667,5.521461,,10,Dispersed Shareholders,US,0,1,66,5,United States,,2005,384,0,14061.8,,
3.5,3.8,3.2,3.333333,4.905275,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
3.529412,4,3.6,3.166667,8.070906,,,,,0,0,,,United States,3,2002,399,,10642.3,,
3.944444,4,4.2,3.666667,8.268732,,,,,0,0,,,United States,3,2004,399,0,11867.75,,
4.222222,4.4,4.8,3.5,7.600903,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,355,0,11867.75,,
3.388889,3.6,3.6,2.833333,7.600903,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,355,0,11867.75,,
3.055556,3.2,3,2.666667,8.006368,,10,Dispersed Shareholders,US,0,1,95,25,United States,,2007,355,0,14061.8,,
3.944444,4.4,3.6,4,7.600903,30,5,Dispersed Shareholders,US,0,1,91,40,United States,,2008,355,0,14624.18,,
3.470588,3.6,3.2,3.6,5.7301,,,Founder,US,0,1,,,United States,3,2004,366,0,11867.75,,
2.944444,3,2.8,3.166667,5.913503,,6,Private Equity,US,0,1,100,60,United States,,2004,366,0,13398.93,,
3.055556,3.2,2.8,3,6.620073,40,10,Private Equity,US,0,1,100,85,United States,,2004,366,0,14119.05,,
3.277778,4,3.2,2.833333,5.857933,,,,,0,0,,,United States,,2004,208,0,11867.75,,
3.277778,4,3.2,2.833333,5.857933,,,,,0,0,,,United States,,2004,208,0,11867.75,,
3.611111,4.2,3.4,3.333333,7.783224,,,,,0,0,,,United States,3,2004,333,0,11867.75,,
2.111111,1.4,2.8,2.166667,8.365905,,,,,0,0,,,United States,2,2003,344,0,11867.75,,
3.777778,4,3,4.166667,7.600903,,10,Dispersed Shareholders,Australia,1,0,90,,United States,,2003,344,0,13398.93,,
3.388889,3.2,3.8,3.333333,8.006368,10,10,Dispersed Shareholders,Australia,1,0,70,20,United States,,2003,344,0,14624.18,,
3.058824,2.6,3.6,3,5.459586,,,,,0,0,,,United States,3,2004,367,0,11867.75,,
3.944444,3.6,4.4,4,5.298317,,,,,0,0,,,United States,3,2004,356,0,11867.75,,
4.055555,4.2,3.6,4.166667,8.354674,,,,,0,0,,,United States,2,2004,289,0,11867.75,,
4.5,4.6,4.6,4.333333,8.354674,,,,,0,0,,,United States,2,2004,289,0,11867.75,,
4.222222,4.4,4.4,4.166667,8.294049,,5,Dispersed Shareholders,US,0,1,100,40,United States,,2006,289,0,13398.93,,
4.555555,5,3.8,4.833333,8.294049,60,7,Dispersed Shareholders,US,0,1,100,10,United States,,2008,289,0,14119.05,,
3,2.4,2.8,3.5,6.304449,,,,,0,0,,,United States,2,2004,272,0,11867.75,,
3.444444,3.8,3.6,3,5.762052,,,,,0,0,,,United States,3,2002,375,0,11867.75,,
2.666667,2.4,2.6,2.833333,6.907755,,7,Private Individuals,,0,0,50,10,United States,,2002,375,0,13398.93,,
2.555556,2.6,3.2,1.833333,7.313221,,,,,0,0,,,United States,2,2004,263,0,11867.75,,
3.833333,4,3.6,3.833333,5.298317,,,,,0,0,,,United States,3,2004,366,0,11867.75,,
3.777778,4.4,3.4,3.166667,5.298317,,,,,0,0,,,United States,3,2004,366,0,11867.75,,
4.166667,4.8,3.8,3.666667,5.703783,,10,Dispersed Shareholders,US,0,1,95,10,United States,,2006,366,0,13398.93,,
3.611111,3.6,4.2,3.333333,5.521461,,,,,0,0,,,United States,3,2004,382,0,11867.75,,
3.444444,3,4,3.333333,5.857933,,5,Dispersed Shareholders,,0,0,99,0,United States,,2007,382,0,14061.8,,
4.166667,4.4,4,4.166667,6.476973,,,,,0,0,,,United States,3,2004,329,0,11867.75,,
3,3,2.8,2.833333,4.787492,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
4.388889,4.2,4.6,4.166667,4.787492,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
4.277778,4.2,4.4,4.166667,6.052089,,,,,0,0,,,United States,3,2004,283,0,11867.75,,
3.222222,3,3.4,3.333333,8.227108,,,,,0,0,,,United States,3,2004,284,0,11867.75,,
2.888889,3,3.4,2.5,8.294049,,10,Dispersed Shareholders,US,0,1,100,10,United States,,2006,284,0,13398.93,,
2.333333,2.2,2.4,2.5,5.501258,,,,,0,0,,,United States,2,2004,349,0,11867.75,,
3.222222,2.6,3.4,3.666667,6.55108,,,,,0,0,,,United States,3,2004,308,0,11867.75,,
4.166667,4.4,4.2,4.166667,5.393628,,,,,0,0,,,United States,2,2004,208,0,11867.75,,
3,2.6,3.2,2.833333,6.109248,,,,,0,0,,,United States,2,2004,382,0,11867.75,,
4.555555,5,3.8,4.833333,5.47227,,,,,0,0,,,United States,3,2004,353,0,11867.75,,
3,3.4,3,2.333333,5.47227,,,,,0,0,,,United States,3,2004,353,0,11867.75,,
3.277778,3.8,2.8,2.833333,8.294049,,10,Dispersed Shareholders,US,0,1,67,20,United States,,2006,353,0,13398.93,,
3,3.6,3.2,2.5,7.313221,,10,Dispersed Shareholders,US,0,1,90,3,United States,,2006,353,0,13398.93,,
4,5,3.6,3.166667,8.006368,5,4,Dispersed Shareholders,US,0,1,95,10,United States,,2009,353,0,14624.18,,
3.294118,4,3,3,5.521461,,,Other,,0,0,80,40,United States,,2005,366,0,12638.38,,
1.944444,2.2,2,2,5.220356,,,,,0,0,,,United States,2,2003,335,0,11867.75,,
3.666667,3.4,3.6,4,6.907755,,,,,0,0,,,United States,3,2004,335,0,11867.75,,
3.666667,4.2,3.8,2.833333,8.389359,,10,Dispersed Shareholders,US,0,1,100,25,United States,,2006,335,0,13398.93,,
2.944444,3.8,2.4,2.666667,6.39693,,10,Dispersed Shareholders,US,0,1,100,10,United States,,2006,366,0,13398.93,,
4.444445,4.4,4.6,4.166667,4.60517,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
3.666667,3.6,3.6,3.333333,4.60517,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
3.166667,3.4,2.2,3.166667,8.006368,,3,Private Equity,,0,0,85,12,United States,,2005,384,0,13398.93,,
2.705882,2.25,3.6,2.833333,7.090077,,,,,0,0,,,United States,3,2004,204,0,11867.75,,
2.944444,3.2,3.4,2.333333,5.147494,,,,,0,0,,,United States,3,2004,273,0,11867.75,,
3,3.8,3,2.666667,7.17012,,5,Dispersed Shareholders,,0,0,50,5,United States,,2006,273,0,13398.93,,
3.055556,3.8,2.8,2.833333,7.090077,1,5,Dispersed Shareholders,,0,0,50,7,United States,,2008,273,0,14624.18,,
3.611111,3.8,4.6,3.5,6.907755,,,,,0,0,,,United States,2,2004,367,0,11867.75,,
3.222222,3.2,3.6,2.833333,7.244227,,10,Dispersed Shareholders,US,0,1,70,10,United States,,2007,367,0,14061.8,,
2.888889,4,2.6,2,4.867535,,,,,0,0,,,United States,2,2004,357,0,11867.75,,
2.277778,3.6,1.4,2.333333,5.857933,,,,,0,0,,,United States,3,2004,232,0,11867.75,,
2.611111,2.8,2,2.833333,5.164786,,8,Dispersed Shareholders,US,0,1,100,75,United States,,2006,382,0,13398.93,,
2.777778,2.2,2.2,3.333333,5.752573,,,,,0,0,,,United States,2,2004,394,0,11867.75,,
3.611111,3.4,4,3.333333,5.752573,,,,,0,0,,,United States,2,2004,394,0,11867.75,,
2.888889,3,3,2.666667,6.291569,,10,Dispersed Shareholders,US,0,1,75,40,United States,,2006,394,0,13398.93,,
3.444444,3.8,3.2,3.5,5.32301,,,,,0,0,,,United States,2,2004,289,0,11867.75,,
4.555555,5,4.6,4,7.31055,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
4.722222,5,4.8,4.5,6.907755,,10,Dispersed Shareholders,UK,1,0,95,35,United States,,2006,384,0,13398.93,,
4.5,4.8,4.4,4.166667,8.294049,30,10,Private Individuals,US,0,1,100,5,United States,,2006,384,0,14119.05,,
4.055555,3.8,4.4,4,4.804021,,,,,0,0,,,United States,2,2004,357,0,11867.75,,
2.388889,2.8,2.6,2.166667,5.991465,,,,,0,0,,,United States,3,2003,284,0,11867.75,,
2.833333,2.6,2.6,3.5,5.298317,,,,,0,0,,,United States,3,2004,221,0,11867.75,,
3.333333,3.4,3.6,3.333333,5.521461,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
4.611111,4.4,4.6,4.833333,5.857933,,,,,0,0,,,United States,3,2004,357,0,11867.75,,
3.611111,3.8,3.8,3.5,6.620073,,10,Dispersed Shareholders,US,0,1,100,5,United States,,2007,357,0,14061.8,,
4.333333,4.8,4,4.333333,4.70048,,,,,0,0,,,United States,2,2004,382,0,11867.75,,
3.388889,3.8,3.6,3.666667,5.365976,,,,,0,0,,,United States,3,2004,395,0,11867.75,,
2,1.4,2.6,2.333333,4.60517,,,,,0,0,,,United States,2,2004,344,0,11867.75,,
2.777778,3.2,2.6,2.833333,4.867535,,10,Dispersed Shareholders,,0,0,20,5,United States,,2007,384,0,14061.8,,
3.666667,4.6,3,3.333333,5.560682,,,,,0,0,,,United States,3,2004,366,0,11867.75,,
3.111111,3.4,2.8,2.833333,5.926926,,4,Dispersed Shareholders,US,0,1,75,50,United States,,2006,366,0,13398.93,,
3.666667,4,3.8,3.166667,5.438079,,,,,0,0,,,United States,3,2004,382,0,11867.75,,
2.666667,3.2,2.6,2.333333,5.438079,,6,Dispersed Shareholders,,0,0,,,United States,,2006,382,0,13398.93,,
2.666667,2.6,3,2.333333,6.214608,15,3,Dispersed Shareholders,,0,0,60,0,United States,,2008,382,0,14119.05,,
4.222222,4.6,4,4,6.345636,,,,,0,0,,,United States,3,2004,367,0,11867.75,,
4,4.4,3.6,3.833333,5.459586,,3,Dispersed Shareholders,US,0,1,100,20,United States,,2006,367,0,13398.93,,
3.176471,3.25,3.2,3.166667,6.251904,,,,,0,0,,,United States,,2002,367,,10642.3,,
3.333333,4.4,2.4,2.833333,5.010635,,,,,0,0,,,United States,3,2004,394,0,11867.75,,
3.277778,3.6,3.4,2.833333,6.907755,,5,Dispersed Shareholders,US,0,1,40,10,United States,,2006,394,0,13398.93,,
3.111111,3.8,3.4,2.166667,7.762171,,,,,0,0,,,United States,3,2004,366,0,11867.75,,
3.529412,4.25,3.2,3.5,5.857933,,,,,0,0,,,United States,3,2004,369,0,11867.75,,
3.388889,3.4,3.2,3.666667,5.857933,,,,,0,0,,,United States,3,2004,353,0,11867.75,,
2.388889,2.4,2.6,2.333333,5.703783,,5,Dispersed Shareholders,,0,0,90,15,United States,,2006,353,0,13398.93,,
3,3.4,3,2.833333,4.905275,,,,,0,0,,,United States,2,2002,355,0,11867.75,,
2.333333,3.4,2.2,1.833333,4.70048,,5,Private Individuals,US,0,1,90,50,United States,,2002,355,0,13398.93,,
3.111111,3.6,3.2,3,4.624973,,3,Private Individuals,US,0,1,90,5,United States,,2002,355,0,13398.93,,
3.833333,4.2,3.2,3.833333,6.55108,,,,,0,0,,,United States,3,2004,371,0,11867.75,,
3,3.2,3,2.5,6.887553,,6,Dispersed Shareholders,,0,0,10,0,United States,,2005,371,0,13398.93,,
3.611111,4.2,3.6,3.333333,5.857933,0,10,Private Individuals,,0,0,2,0,United States,,2005,371,0,14119.05,,
3.944444,4,3.6,4,5.929589,,,,,0,0,,,United States,2,2004,345,0,11867.75,,
2.8,3.6,2.6,2.5,6.109248,,10,Dispersed Shareholders,,0,0,10,10,United States,,2004,345,0,13398.93,,
3.111111,3.4,3.6,2.666667,5.521461,,,Dispersed Shareholders,US,0,1,100,25,United States,,2005,285,0,12638.38,,
2.823529,3,2.8,2.8,5.141664,,,,,0,0,,,United States,2,2004,262,0,11867.75,,
2.611111,3.4,2,2.666667,8.073403,,,,,0,0,,,United States,3,2004,327,0,11867.75,,
2.555556,2.8,2.2,2.666667,8.139149,,6,Dispersed Shareholders,,0,0,0,0,United States,,2007,327,0,14061.8,,
2.666667,2.8,2.2,2.666667,5.010635,,,,,0,0,,,United States,3,2004,308,0,11867.75,,
3.944444,4.6,3.6,3.333333,6.023448,,,,,0,0,,,United States,2,2004,373,0,11867.75,,
2.555556,2.6,2.6,2.5,7.863267,,,,,0,0,,,United States,3,2004,362,0,11867.75,,
3.388889,4.6,3.2,2.5,7.740664,,10,Dispersed Shareholders,US,0,1,50,10,United States,,2006,362,0,13398.93,,
4.5,4.8,4.6,4.333333,8.294049,,5,Dispersed Shareholders,US,0,1,100,20,United States,,2006,356,0,13398.93,,
3.277778,3.8,3.6,2.333333,8.160519,70,8,Dispersed Shareholders,US,0,1,100,10,United States,,2008,356,0,14624.18,,
2.611111,3.2,1.4,3.166667,5.700444,,,,,0,0,,,United States,2,2004,356,0,11867.75,,
3.333333,3.4,3.2,3.333333,6.214608,,6,Dispersed Shareholders,US,0,1,50,20,United States,,2006,356,0,13398.93,,
3.176471,3.25,3.2,3.333333,7.090077,,,,,0,0,,,United States,3,2002,356,,10642.3,,
3.611111,4,3.2,3.666667,7.090077,,,,,0,0,,,United States,3,2003,356,0,11867.75,,
4.388889,4.4,4.2,4.5,7.600903,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,371,0,11867.75,,
4.388889,4.8,3.6,4.5,7.600903,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,371,0,11867.75,,
3.611111,4,3.2,3.833333,7.740664,,1,Dispersed Shareholders,US,0,1,95,10,United States,,2006,371,0,13398.93,,
3.833333,4.2,2.4,4.666667,7.740664,,10,Dispersed Shareholders,US,0,1,100,50,United States,,2006,371,0,13398.93,,
3.666667,3.6,3.4,3.5,7.863267,70,1,Dispersed Shareholders,US,0,1,95,10,United States,,2008,371,0,14624.18,,
2.833333,2.8,3,2.666667,6.39693,,,Dispersed Shareholders,US,0,1,,,United States,3,2004,364,0,11867.75,,
3.5,3.6,3.6,3.333333,5.164786,,,,,0,0,,,United States,3,2004,355,0,11867.75,,
3.222222,3,3.4,3.333333,5.393628,,,,,0,0,,,United States,2,2004,344,0,11867.75,,
3.444444,3.4,3.4,3.333333,6.620073,,,,,0,0,,,United States,3,2004,356,0,11867.75,,
2.722222,3.2,2.2,3.333333,5.703783,,,,,0,0,,,United States,3,2004,344,0,11867.75,,
2.777778,3.2,2.4,2.666667,5.521461,,5,Dispersed Shareholders,,0,0,100,15,United States,,2006,344,0,13398.93,,
3.6,3.2,3.6,4,5.991465,,,,,0,0,,,United States,3,2004,209,0,11867.75,,
4.166667,4.8,3.4,4.166667,6.756932,,6,Founder,,0,0,50,25,United States,,2006,209,0,13398.93,,
2.625,3.6,2,3,5.666427,,,,,0,0,,,United States,2,2004,283,0,11867.75,,
2.722222,3.2,2.8,2.833333,6.214608,,6,Dispersed Shareholders,,0,0,100,100,United States,,2004,283,0,13398.93,,
4.388889,4.8,4.2,4,4.60517,,,,,0,0,,,United States,2,2004,363,0,11867.75,,
3.611111,3.8,3.8,3.333333,4.70048,,5,Private Individuals,,0,0,75,2,United States,,2004,363,0,14061.8,,
2.555556,2.6,2.8,2.166667,5.010635,,,,,0,0,,,United States,3,2004,203,0,11867.75,,
2.666667,3.2,2.4,2.5,8.160519,,5,"Family owned, family CEO",US,0,1,25,5,United States,,2006,203,0,13398.93,,
3.277778,3.8,2.8,3.166667,7.438384,,,,,0,0,,,United States,3,2004,230,0,11867.75,,
2.666667,3.4,2.2,2.833333,8.318742,,2,Dispersed Shareholders,,0,0,50,0,United States,,2006,230,0,13398.93,,
3.722222,3.6,3.6,3.833333,5.703783,,,,,0,0,,,United States,3,2004,349,0,11867.75,,
3.166667,3.6,3.2,2.666667,5.521461,,5,Private Equity,US,0,1,10,10,United States,,2007,349,0,14061.8,,
4.555555,4.8,4.4,4.5,4.60517,,,,,0,0,,,United States,2,2004,356,0,11867.75,,
3.777778,4,3.6,3.666667,7.696213,,6,Dispersed Shareholders,US,0,1,100,50,United States,,2004,356,0,13398.93,,
4.388889,4.6,4,4.333333,7.090077,40,6,Dispersed Shareholders,US,0,1,100,30,United States,,2004,356,0,14119.05,,
3.666667,3.8,3.4,3.833333,5.991465,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
3.333333,3.6,2.4,3.833333,6.684612,,10,Dispersed Shareholders,US,0,1,65,40,United States,,2006,384,0,13398.93,,
2.055556,1.6,1.4,2.333333,5.267858,,,Private Individuals,,0,0,,,United States,2,2002,240,0,11867.75,,
2.166667,2.6,1.8,2.5,5.075174,,10,Private Individuals,,0,0,100,30,United States,,2002,240,0,13398.93,,
3.611111,4,3.6,3.5,4.70048,5,3,Private Individuals,,0,0,100,10,United States,,2002,240,0,14119.05,,
2.944444,3.4,2.4,2.833333,6.907755,,,,,0,0,,,United States,3,2004,282,0,11867.75,,
2.555556,2.2,2.4,2.833333,6.55108,,10,Dispersed Shareholders,US,0,1,20,0,United States,,2007,282,0,14061.8,,
3,3.4,3.2,2.666667,7.34601,,0,Dispersed Shareholders,US,0,1,50,5,United States,,2008,282,0,14119.05,,
3.111111,2.8,2.8,3.666667,6.907755,,,,,0,0,,,United States,3,2004,283,0,11867.75,,
3.388889,3.4,3.6,3.333333,7.600903,,,,,0,0,,,United States,2,2004,369,0,11867.75,,
3.388889,3.6,3.6,2.833333,7.600903,,3,Dispersed Shareholders,US,0,1,100,20,United States,,2006,369,0,13398.93,,
3.611111,3.6,3,4.166667,5.521461,,,"Family owned, family CEO",,0,0,20,0,United States,,2005,331,0,12638.38,,
3.222222,3.4,3.4,2.833333,6.39693,,,,,0,0,,,United States,3,2004,227,0,11867.75,,
4.277778,4.4,4.8,3.666667,6.39693,,,,,0,0,,,United States,3,2004,227,0,11867.75,,
3.555556,4,3.8,3.166667,8.491465,,6,Dispersed Shareholders,US,0,1,60,30,United States,,2006,227,0,13398.93,,
2.444444,2.8,3,2.166667,8.491465,,10,Dispersed Shareholders,US,0,1,70,30,United States,,2006,227,0,13398.93,,
2.666667,2.4,2.4,3,7.047517,,3,Dispersed Shareholders,Netherlands,1,0,92,24,United States,,2006,384,0,14369.08,,
2.777778,3,2.2,3,7.313221,,,,,0,0,,,United States,2,2004,344,0,11867.75,,
2.666667,2,2.6,3,7.313221,,5,Dispersed Shareholders,US,0,1,50,1,United States,,2006,344,0,13398.93,,
4.333333,5,4,3.833333,6.620073,,,,,0,0,,,United States,3,2004,366,0,11867.75,,
3.333333,3.4,3.4,3.166667,6.802395,,,,,0,0,,,United States,2,2004,355,0,11867.75,,
3.555556,3.6,3.4,3.5,5.940171,,2,Dispersed Shareholders,US,0,1,95,50,United States,,2006,355,0,13398.93,,
4.388889,4.4,4.4,4.333333,7.003066,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
3.444444,4.4,3.4,2.666667,6.684612,,10,Dispersed Shareholders,,0,0,,,United States,,2007,382,0,14061.8,,
2.5,2.6,2.4,2.333333,5.991465,,,,,0,0,,,United States,3,2003,355,0,11867.75,,
3.444444,3.8,2.4,3.833333,7.762171,,10,Dispersed Shareholders,US,0,1,,,United States,,2003,355,0,13398.93,,
2.611111,2.2,3,3.166667,5.298317,,,,,0,0,,,United States,2,2004,382,0,11867.75,,
3.611111,4,3.2,3.5,5.991465,,5,Dispersed Shareholders,US,0,1,95,50,United States,,2007,382,0,14061.8,,
3.166667,3.6,3,2.666667,5.991465,20,5,Dispersed Shareholders,,0,0,95,30,United States,,2008,382,0,14119.05,,
2.277778,2.8,1.6,2.833333,5.796058,,,,,0,0,,,United States,3,2003,306,0,11867.75,,
3.444444,3.8,3.4,3.166667,5.393628,,,,,0,0,,,United States,3,2004,363,0,11867.75,,
3.277778,2.8,3.4,3.666667,7.377759,,,,,0,0,,,United States,2,2004,353,0,11867.75,,
