"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2016-03-17","2016-06-23","2,006","1,160","68.8%","4.1%","20.6%","24.6%","21.2%","26.6%","25.8%","52.4%","1.7%","100.0%","-27.8%","2.5","1,140","0.1",""
"2015-09-16","2015-12-21","2,030","1,210","65.3%","4.0%","20.6%","24.6%","23.8%","27.2%","21.7%","48.9%","2.7%","100.0%","-24.3%","2.6","1,177","0.1",""
"2015-03-16","2015-06-25","2,048","1,242","68.2%","5.4%","24.2%","29.5%","22.9%","25.1%","21.0%","46.1%","1.5%","100.0%","-16.6%","2.7","1,224","0.1",""
"2014-09-17","2014-12-22","2,027","1,269","65.9%","4.5%","22.6%","27.1%","22.8%","29.3%","18.9%","48.2%","1.9%","100.0%","-21.1%","2.6","1,244","0.1",""
"2014-03-24","2014-06-19","2,048","1,223","68.6%","4.5%","25.4%","30.0%","21.2%","27.4%","19.9%","47.3%","1.5%","100.0%","-17.3%","2.7","1,205","0.1",""
"2013-09-23","2013-12-19","2,031","1,179","66.2%","4.0%","25.7%","29.8%","21.5%","28.9%","17.1%","46.1%","2.7%","100.0%","-16.3%","2.7","1,147","0.1",""
"2013-03-21","2013-06-19","2,043","1,268","67.6%","3.6%","23.6%","27.2%","24.0%","28.8%","17.7%","46.5%","2.3%","100.0%","-19.3%","2.7","1,239","0.1",""
"2012-09-18","2012-12-28","2,050","1,283","66.8%","3.6%","25.1%","28.7%","25.2%","27.6%","13.6%","41.2%","4.9%","100.0%","-12.5%","2.7","1,217","0.1",""
"2012-03-16","2012-06-25","2,068","1,184","66.2%","1.0%","15.3%","16.3%","21.9%","35.2%","24.9%","60.1%","1.6%","100.0%","-43.8%","2.3","1,165","0.1",""
"2011-09-13","2011-12-28","2,036","1,126","65.7%","1.4%","17.3%","18.7%","22.2%","37.5%","20.0%","57.6%","1.5%","100.0%","-38.9%","2.4","1,110","0.1",""
"2011-03-21","2011-06-29","2,042","1,167","65.9%","0.9%","15.9%","16.8%","26.1%","33.9%","21.5%","55.4%","1.7%","100.0%","-38.6%","2.4","1,146","0.1",""
"2010-09-18","2010-12-22","2,027","2,027","66.3%","1.6%","20.6%","22.2%","27.5%","33.9%","15.1%","49.0%","1.2%","100.0%","-26.7%","2.6","1,998","0.1",""
"2010-03-23","2010-06-22","2,021","2,021","68.0%","2.9%","22.0%","24.8%","22.9%","33.2%","17.8%","51.0%","1.3%","100.0%","-26.2%","2.6","1,996","0.1",""
"2009-09-14","2009-12-17","2,004","2,004","67.9%","2.3%","23.9%","26.2%","29.1%","30.1%","13.2%","43.3%","1.4%","100.0%","-17.1%","2.7","1,976","0.1",""
"2009-03-09","2009-06-21","2,031","2,031","67.1%","2.3%","24.3%","26.6%","31.9%","28.9%","11.0%","39.9%","1.6%","100.0%","-13.4%","2.8","1,998","0.1",""
"2008-09-17","2008-12-18","2,008","2,008","67.7%","1.9%","22.6%","24.5%","30.6%","31.1%","11.0%","42.1%","2.8%","100.0%","-17.6%","2.7","1,951","0.1",""
"2008-03-18","2008-06-20","2,029","2,029","68.0%","2.5%","31.3%","33.8%","33.3%","24.1%","7.0%","31.0%","1.8%","100.0%","2.8%","3.0","1,991","0.1",""
"2007-09-17","2007-12-24","2,027","2,027","65.8%","2.4%","27.9%","30.3%","32.4%","27.6%","7.3%","34.8%","2.5%","100.0%","-4.6%","2.9","1,975","0.1",""
"2007-03-19","2007-06-21","2,013","2,013","64.4%","3.8%","32.7%","36.5%","36.3%","19.1%","5.5%","24.6%","2.6%","100.0%","11.9%","3.1","1,959","0.1",""
"2006-09-14","2006-12-20","2,029","2,029","61.2%","1.8%","25.7%","27.5%","39.7%","23.5%","7.5%","31.0%","1.8%","100.0%","-3.5%","2.9","1,990","0.1",""
"2006-03-13","2006-06-21","2,022","2,022","58.8%","3.2%","34.5%","37.8%","36.2%","18.9%","4.9%","23.8%","2.2%","100.0%","14.0%","3.1","1,977","0.1",""
"2005-07-25","2005-11-23","3,050","3,050","63.5%","2.4%","30.8%","33.3%","36.1%","20.4%","5.5%","25.9%","4.8%","100.0%","7.4%","3.0","2,900","0.1",""
"2005-01-24","2005-04-21","2,015","2,015","65.8%","2.1%","19.4%","21.6%","30.4%","32.0%","11.6%","43.6%","4.3%","100.0%","-22.1%","2.7","1,923","0.1",""
"2004-07-26","2004-10-21","2,016","2,016","62.0%","2.0%","17.4%","19.4%","29.4%","34.4%","13.0%","47.4%","3.7%","100.0%","-28.0%","2.6","1,935","0.1",""
"2004-01-26","2004-04-22","2,085","2,085","63.2%","1.6%","16.9%","18.4%","28.0%","34.0%","15.4%","49.4%","4.2%","100.0%","-31.0%","2.5","1,995","0.1",""
"2003-07-14","2003-10-22","2,090","2,090","64.6%","1.1%","13.3%","14.4%","21.9%","39.9%","20.0%","59.8%","4.0%","100.0%","-45.4%","2.3","2,002","0.1",""
"2003-01-20","2003-05-20","3,184","3,184","67.6%","0.9%","13.0%","13.9%","21.4%","41.2%","18.6%","59.8%","5.0%","100.0%","-45.9%","2.3","3,021","0.1",""
"2002-07-02","2002-11-20","3,188","3,188","67.3%","0.6%","15.9%","16.5%","23.5%","42.6%","11.2%","53.8%","6.3%","100.0%","-37.3%","2.5","2,983","0.1",""
"2002-01-02","2002-05-07","3,132","3,132","64.1%","0.4%","16.9%","17.4%","26.1%","42.3%","8.0%","50.3%","6.2%","100.0%","-33.0%","2.6","2,934","0.1",""
"2001-07-03","2001-11-05","3,203","3,203","67.7%","0.5%","13.5%","13.9%","25.9%","42.4%","11.8%","54.2%","5.9%","100.0%","-40.3%","2.5","3,008","0.1",""
"2001-01-17","2001-05-23","3,152","3,152","58.8%","0.8%","16.6%","17.4%","29.0%","39.8%","7.8%","47.7%","6.0%","100.0%","-30.3%","2.6","2,956","0.1",""
"2000-07-06","2000-11-16","3,158","3,158","53.7%","0.8%","15.6%","16.4%","23.3%","42.8%","11.0%","53.8%","6.5%","100.0%","-37.4%","2.5","2,949","0.1",""
"2000-01-11","2000-06-05","4,240","4,240","53.9%","0.5%","18.4%","18.9%","30.2%","35.9%","10.2%","46.1%","4.8%","100.0%","-27.1%","2.6","4,017","0.1",""
"1999-07-09","1999-12-06","3,205","3,205","48.2%","0.6%","20.7%","21.3%","29.1%","35.0%","8.9%","43.9%","5.7%","100.0%","-22.6%","2.7","3,015","0.1",""
"1999-01-14","1999-06-01","3,147","3,147","49.9%","0.5%","20.8%","21.3%","31.8%","36.0%","6.2%","42.1%","4.8%","100.0%","-20.8%","2.7","2,993","0.1",""
"1998-07-14","1998-12-02","3,148","3,148","42.9%","0.5%","19.8%","20.4%","28.7%","36.9%","8.7%","45.6%","5.3%","100.0%","-25.3%","2.6","2,978","0.1",""
"1998-01-12","1998-06-23","1,553","1,553","49.2%","0.5%","22.2%","22.7%","32.2%","34.8%","4.3%","39.1%","6.0%","100.0%","-16.4%","2.8","1,458","0.1",""
"1997-07-29","1997-12-03","3,181","3,181","43.4%","0.8%","27.0%","27.8%","28.9%","22.4%","2.2%","24.6%","18.6%","100.0%","3.2%","3.0","2,579","0.1",""
